Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
"Agriculture, forestry, fishing, and hunting",1.3083434,0.0145042,0.0066288,0.0233435,0.0897557,0.0054230,0.0073997,0.0106093,0.0076056,0.0034615,0.0063303,0.0084311,0.0147254,0.0087734,0.0141430
Mining,0.0297436,1.1069925,0.0694809,0.0366479,0.0980116,0.0065861,0.0071450,0.0127262,0.0091476,0.0050093,0.0064083,0.0098796,0.0113696,0.0104890,0.0217408
Utilities,0.0168904,0.0194227,1.0396665,0.0087643,0.0168412,0.0100091,0.0194779,0.0133062,0.0067157,0.0164339,0.0064966,0.0094355,0.0199418,0.0076355,0.0094774
Construction,0.0109332,0.0121083,0.0179669,1.0043815,0.0082746,0.0058352,0.0086577,0.0111552,0.0051612,0.0290589,0.0042869,0.0056182,0.0073405,0.0083081,0.0282534
Manufacturing,0.3629521,0.2479287,0.1126978,0.3848273,1.6031234,0.0894342,0.0887020,0.1782089,0.1259300,0.0546117,0.0855832,0.1414186,0.1432371,0.1444008,0.2114743
Wholesale trade,0.1482364,0.0542697,0.0284394,0.0830633,0.1231490,1.0407353,0.0308478,0.0413236,0.0292934,0.0137182,0.0194902,0.0356632,0.0346363,0.0303255,0.0413811
Retail trade,0.0075169,0.0047204,0.0062098,0.0527151,0.0086392,0.0028143,1.0073747,0.0129132,0.0027417,0.0043319,0.0034440,0.0026854,0.0104665,0.0163891,0.0041835
Transportation and warehousing,0.0667702,0.0606432,0.0769070,0.0469812,0.0782885,0.0573966,0.0621324,1.1414041,0.0305792,0.0175655,0.0282698,0.0248223,0.0268187,0.0226709,0.0386543
Information,0.0186638,0.0281231,0.0218778,0.0238810,0.0277533,0.0391512,0.0433426,0.0338615,1.1709782,0.0304021,0.0538464,0.0369182,0.0386861,0.0394731,0.0462681
"Finance, insurance, real estate, rental, and leasing",0.1695483,0.1478833,0.0738047,0.0918533,0.0933245,0.1543938,0.2040482,0.1808346,0.1049313,1.2712103,0.1289613,0.1742197,0.1668376,0.1524523,0.0852498
Professional and business services,0.0931342,0.1835935,0.1117613,0.1238129,0.1568905,0.2105880,0.1976241,0.1504617,0.2119760,0.1417233,1.2191624,0.1653031,0.1911924,0.1224916,0.1279515
"Educational services, health care, and social assistance",0.0005584,0.0003953,0.0008714,0.0005784,0.0005842,0.0016676,0.0047646,0.0009600,0.0005854,0.0003583,0.0006611,1.0138365,0.0018007,0.0050278,0.0086461
"Arts, entertainment, recreation, accommodation, and food services",0.0088604,0.0093827,0.0105584,0.0071920,0.0105840,0.0135405,0.0145340,0.0254239,0.0369628,0.0195589,0.0257230,0.0275878,1.0342828,0.0159081,0.0129569
"Other services, except government",0.0085488,0.0071158,0.0049532,0.0103670,0.0112843,0.0190016,0.0158024,0.0211067,0.0097391,0.0093291,0.0116407,0.0140066,0.0159716,1.0150671,0.0126100
Government,0.0220902,0.0204744,0.0338631,0.0143762,0.0255038,0.0226367,0.0240128,0.0482166,0.0183638,0.0221380,0.0133602,0.0168112,0.0216822,0.0189610,1.0172994
